facility_id,state,facility_type,patients_served,staff_count,bed_count,services,accepts_insurance,year,urban_rural,operating_months,patients_per_staff,num_services,is_overburdened
FAC202000000,NC,School Based Program,1048.0,103.0,20.0,"Medication Management, Group Therapy, Individual Therapy",True,2020,Rural,3,10.2,3,False
FAC202000001,FL,Residential Treatment Center,1057.0,103.0,67.0,"Medication Management, Case Management, Group Therapy, Telehealth Services",True,2020,Rural,10,10.3,4,False
FAC202000002,AR,Private Practice,4257.0,107.0,103.0,"Substance Abuse Treatment, Crisis Intervention, Telehealth Services, Individual Therapy, Child and Adolescent Services",True,2020,Suburban,8,39.8,5,False
FAC202000003,AR,School Based Program,2739.0,187.0,217.0,"Crisis Intervention, Case Management, Medication Management, Individual Therapy, Telehealth Services, Substance Abuse Treatment",True,2020,Urban,4,14.6,6,False
FAC202000004,NV,Residential Treatment Center,2818.0,140.0,5.0,"Crisis Intervention, Group Therapy, Substance Abuse Treatment, Telehealth Services",False,2020,Rural,5,20.1,4,False
FAC202000005,AR,Private Practice,2178.0,18.0,101.0,"Medication Management, Child and Adolescent Services, Crisis Intervention, Substance Abuse Treatment, Telehealth Services, Case Management, Group Therapy",True,2020,Urban,5,121.0,7,True
FAC202000006,DE,Private Practice,978.0,103.0,148.0,"Substance Abuse Treatment, Child and Adolescent Services, Crisis Intervention, Medication Management, Telehealth Services, Individual Therapy, Case Management",False,2020,Suburban,12,9.5,7,False
FAC202000007,NJ,Private Practice,748.0,27.0,148.0,"Crisis Intervention, Medication Management, Child and Adolescent Services",False,2020,Suburban,10,27.7,3,False
FAC202000008,WI,Outpatient Clinic,1837.0,77.0,148.0,"Individual Therapy, Child and Adolescent Services",True,2020,Rural,5,23.9,2,False
FAC202000009,NC,Private Practice,3352.0,51.0,148.0,"Medication Management, Substance Abuse Treatment, Group Therapy, Individual Therapy",True,2020,Urban,10,65.7,4,True
FAC202000010,MO,Community Mental Health Center,1750.0,75.0,21.0,"Crisis Intervention, Group Therapy, Medication Management, Child and Adolescent Services",False,2020,Urban,12,23.3,4,False
FAC202000011,HI,State Mental Hospital,1166.0,50.0,114.0,"Substance Abuse Treatment, Individual Therapy",False,2020,Suburban,11,23.3,2,False
FAC202000012,GA,Residential Treatment Center,3147.0,7.0,101.0,"Child and Adolescent Services, Individual Therapy, Medication Management, Group Therapy, Crisis Intervention",True,2020,Suburban,12,449.6,5,True
FAC202000013,ID,Veterans Affairs Medical Center,2121.0,103.0,235.0,"Substance Abuse Treatment, Group Therapy, Child and Adolescent Services, Individual Therapy, Telehealth Services, Medication Management, Case Management",True,2020,Rural,8,20.6,7,False
FAC202000014,DC,Veterans Affairs Medical Center,4968.0,89.0,144.0,"Substance Abuse Treatment, Case Management, Individual Therapy, Group Therapy",True,2020,Suburban,12,55.8,4,True
FAC202000015,AR,School Based Program,3959.0,85.0,148.0,"Group Therapy, Crisis Intervention, Medication Management, Case Management, Substance Abuse Treatment, Individual Therapy, Telehealth Services",True,2020,Suburban,1,46.6,7,False
FAC202000016,RI,School Based Program,2577.0,192.0,109.0,"Individual Therapy, Substance Abuse Treatment, Medication Management",True,2020,Rural,7,13.4,3,False
FAC202000017,CO,Psychiatric Hospital,3544.0,144.0,7.0,"Individual Therapy, Substance Abuse Treatment, Medication Management, Child and Adolescent Services, Case Management, Crisis Intervention",False,2020,Urban,3,24.6,6,False
FAC202000018,WI,Residential Treatment Center,1361.0,86.0,57.0,Crisis Intervention,False,2020,Urban,1,15.8,1,False
FAC202000019,NH,Psychiatric Hospital,4796.0,108.0,292.0,"Telehealth Services, Child and Adolescent Services, Individual Therapy, Group Therapy, Crisis Intervention, Substance Abuse Treatment, Case Management",True,2020,Rural,9,44.4,7,False
FAC202000020,MA,Private Practice,1235.0,162.0,104.0,"Individual Therapy, Child and Adolescent Services, Telehealth Services, Case Management, Medication Management, Group Therapy",True,2020,Suburban,10,7.6,6,False
